Id,Id2,Geography,Total,Occupied,Vacant
1000000US210670001003001,210670001003001,"Block 3001, Block Group 3, Census Tract 1, Fayette County, Kentucky",0,0,0
1000000US210670001003002,210670001003002,"Block 3002, Block Group 3, Census Tract 1, Fayette County, Kentucky",0,0,0
1000000US210670001003003,210670001003003,"Block 3003, Block Group 3, Census Tract 1, Fayette County, Kentucky",15,12,3
1000000US210670001003004,210670001003004,"Block 3004, Block Group 3, Census Tract 1, Fayette County, Kentucky",18,14,4
1000000US210670001003005,210670001003005,"Block 3005, Block Group 3, Census Tract 1, Fayette County, Kentucky",29,22,7
1000000US210670001003006,210670001003006,"Block 3006, Block Group 3, Census Tract 1, Fayette County, Kentucky",67,59,8
1000000US210670001003007,210670001003007,"Block 3007, Block Group 3, Census Tract 1, Fayette County, Kentucky",6,4,2
1000000US210670001003008,210670001003008,"Block 3008, Block Group 3, Census Tract 1, Fayette County, Kentucky",2,1,1
1000000US210670001003009,210670001003009,"Block 3009, Block Group 3, Census Tract 1, Fayette County, Kentucky",14,12,2
1000000US210670001003010,210670001003010,"Block 3010, Block Group 3, Census Tract 1, Fayette County, Kentucky",10,10,0
1000000US210670001003011,210670001003011,"Block 3011, Block Group 3, Census Tract 1, Fayette County, Kentucky",10,10,0
1000000US210670001003012,210670001003012,"Block 3012, Block Group 3, Census Tract 1, Fayette County, Kentucky",8,8,0
1000000US210670001003013,210670001003013,"Block 3013, Block Group 3, Census Tract 1, Fayette County, Kentucky",21,19,2
1000000US210670001003014,210670001003014,"Block 3014, Block Group 3, Census Tract 1, Fayette County, Kentucky",0,0,0
1000000US210670001003015,210670001003015,"Block 3015, Block Group 3, Census Tract 1, Fayette County, Kentucky",3,3,0
1000000US210670001003016,210670001003016,"Block 3016, Block Group 3, Census Tract 1, Fayette County, Kentucky",0,0,0
1000000US210670001003017,210670001003017,"Block 3017, Block Group 3, Census Tract 1, Fayette County, Kentucky",0,0,0
1000000US210670001003018,210670001003018,"Block 3018, Block Group 3, Census Tract 1, Fayette County, Kentucky",0,0,0
1000000US210670001003019,210670001003019,"Block 3019, Block Group 3, Census Tract 1, Fayette County, Kentucky",0,0,0
1000000US210670001003020,210670001003020,"Block 3020, Block Group 3, Census Tract 1, Fayette County, Kentucky",23,20,3
1000000US210670001003021,210670001003021,"Block 3021, Block Group 3, Census Tract 1, Fayette County, Kentucky",45,41,4
1000000US210670001003022,210670001003022,"Block 3022, Block Group 3, Census Tract 1, Fayette County, Kentucky",0,0,0
1000000US210670001003023,210670001003023,"Block 3023, Block Group 3, Census Tract 1, Fayette County, Kentucky",1,0,1
1000000US210670001003024,210670001003024,"Block 3024, Block Group 3, Census Tract 1, Fayette County, Kentucky",4,2,2
1000000US210670001003025,210670001003025,"Block 3025, Block Group 3, Census Tract 1, Fayette County, Kentucky",69,69,0
1000000US210670001003026,210670001003026,"Block 3026, Block Group 3, Census Tract 1, Fayette County, Kentucky",0,0,0
1000000US210670001003027,210670001003027,"Block 3027, Block Group 3, Census Tract 1, Fayette County, Kentucky",102,98,4
1000000US210670001003028,210670001003028,"Block 3028, Block Group 3, Census Tract 1, Fayette County, Kentucky",0,0,0
1000000US210670001003029,210670001003029,"Block 3029, Block Group 3, Census Tract 1, Fayette County, Kentucky",45,36,9
1000000US210670001003030,210670001003030,"Block 3030, Block Group 3, Census Tract 1, Fayette County, Kentucky",40,36,4
1000000US210670001003031,210670001003031,"Block 3031, Block Group 3, Census Tract 1, Fayette County, Kentucky",5,3,2
1000000US210670001003032,210670001003032,"Block 3032, Block Group 3, Census Tract 1, Fayette County, Kentucky",6,6,0
1000000US210670001003033,210670001003033,"Block 3033, Block Group 3, Census Tract 1, Fayette County, Kentucky",17,16,1
1000000US210670001003034,210670001003034,"Block 3034, Block Group 3, Census Tract 1, Fayette County, Kentucky",3,3,0
1000000US210670001003035,210670001003035,"Block 3035, Block Group 3, Census Tract 1, Fayette County, Kentucky",13,13,0
1000000US210670001003036,210670001003036,"Block 3036, Block Group 3, Census Tract 1, Fayette County, Kentucky",17,17,0
1000000US210670001003037,210670001003037,"Block 3037, Block Group 3, Census Tract 1, Fayette County, Kentucky",17,14,3
1000000US210670001003038,210670001003038,"Block 3038, Block Group 3, Census Tract 1, Fayette County, Kentucky",5,5,0
1000000US210670001003039,210670001003039,"Block 3039, Block Group 3, Census Tract 1, Fayette County, Kentucky",0,0,0
1000000US210670001003040,210670001003040,"Block 3040, Block Group 3, Census Tract 1, Fayette County, Kentucky",0,0,0
1000000US210670001003041,210670001003041,"Block 3041, Block Group 3, Census Tract 1, Fayette County, Kentucky",0,0,0
1000000US210670001003042,210670001003042,"Block 3042, Block Group 3, Census Tract 1, Fayette County, Kentucky",0,0,0
1000000US210670001003043,210670001003043,"Block 3043, Block Group 3, Census Tract 1, Fayette County, Kentucky",0,0,0
1000000US210670001003044,210670001003044,"Block 3044, Block Group 3, Census Tract 1, Fayette County, Kentucky",0,0,0
1000000US210670001004000,210670001004000,"Block 4000, Block Group 4, Census Tract 1, Fayette County, Kentucky",0,0,0
1000000US210670001004001,210670001004001,"Block 4001, Block Group 4, Census Tract 1, Fayette County, Kentucky",0,0,0
1000000US210670001004002,210670001004002,"Block 4002, Block Group 4, Census Tract 1, Fayette County, Kentucky",0,0,0
1000000US210670001004003,210670001004003,"Block 4003, Block Group 4, Census Tract 1, Fayette County, Kentucky",0,0,0
1000000US210670001004004,210670001004004,"Block 4004, Block Group 4, Census Tract 1, Fayette County, Kentucky",199,189,10
1000000US210670001004005,210670001004005,"Block 4005, Block Group 4, Census Tract 1, Fayette County, Kentucky",5,5,0
1000000US210670001004006,210670001004006,"Block 4006, Block Group 4, Census Tract 1, Fayette County, Kentucky",1,1,0
1000000US210670001004007,210670001004007,"Block 4007, Block Group 4, Census Tract 1, Fayette County, Kentucky",110,95,15
1000000US210670001004008,210670001004008,"Block 4008, Block Group 4, Census Tract 1, Fayette County, Kentucky",13,12,1
1000000US210670001004009,210670001004009,"Block 4009, Block Group 4, Census Tract 1, Fayette County, Kentucky",11,5,6
1000000US210670001004010,210670001004010,"Block 4010, Block Group 4, Census Tract 1, Fayette County, Kentucky",0,0,0
1000000US210670001004011,210670001004011,"Block 4011, Block Group 4, Census Tract 1, Fayette County, Kentucky",0,0,0
1000000US210670001004012,210670001004012,"Block 4012, Block Group 4, Census Tract 1, Fayette County, Kentucky",0,0,0
1000000US210670001004013,210670001004013,"Block 4013, Block Group 4, Census Tract 1, Fayette County, Kentucky",0,0,0
1000000US210670001004014,210670001004014,"Block 4014, Block Group 4, Census Tract 1, Fayette County, Kentucky",0,0,0
1000000US210670001004015,210670001004015,"Block 4015, Block Group 4, Census Tract 1, Fayette County, Kentucky",4,4,0
1000000US210670001004016,210670001004016,"Block 4016, Block Group 4, Census Tract 1, Fayette County, Kentucky",33,26,7
1000000US210670001004017,210670001004017,"Block 4017, Block Group 4, Census Tract 1, Fayette County, Kentucky",79,59,20
1000000US210670001004018,210670001004018,"Block 4018, Block Group 4, Census Tract 1, Fayette County, Kentucky",86,80,6
1000000US210670001004019,210670001004019,"Block 4019, Block Group 4, Census Tract 1, Fayette County, Kentucky",153,144,9
1000000US210670001004020,210670001004020,"Block 4020, Block Group 4, Census Tract 1, Fayette County, Kentucky",106,100,6
1000000US210670001004021,210670001004021,"Block 4021, Block Group 4, Census Tract 1, Fayette County, Kentucky",46,46,0
1000000US210670001004022,210670001004022,"Block 4022, Block Group 4, Census Tract 1, Fayette County, Kentucky",3,3,0
1000000US210670001004023,210670001004023,"Block 4023, Block Group 4, Census Tract 1, Fayette County, Kentucky",47,45,2
1000000US210670001004024,210670001004024,"Block 4024, Block Group 4, Census Tract 1, Fayette County, Kentucky",0,0,0
1000000US210670001004025,210670001004025,"Block 4025, Block Group 4, Census Tract 1, Fayette County, Kentucky",0,0,0
1000000US210670001004026,210670001004026,"Block 4026, Block Group 4, Census Tract 1, Fayette County, Kentucky",168,152,16
1000000US210670001004027,210670001004027,"Block 4027, Block Group 4, Census Tract 1, Fayette County, Kentucky",0,0,0
1000000US210670002001000,210670002001000,"Block 1000, Block Group 1, Census Tract 2, Fayette County, Kentucky",0,0,0
1000000US210670002001001,210670002001001,"Block 1001, Block Group 1, Census Tract 2, Fayette County, Kentucky",6,3,3
